Channel,Vertical_Angle_deg,Ranging_10pct_m,Farthest_Ranging_m
1,-0.07,25,60
2,0.88,25,60
3,1.81,25,60
4,2.76,25,60
5,3.69,25,60
6,4.62,25,60
7,5.54,25,60
8,6.48,25,60
9,7.41,25,60
10,8.34,25,60
11,9.27,25,60
12,10.21,30,60
13,11.15,30,60
14,12.09,30,60
15,13.03,30,60
16,13.98,30,60
17,14.92,30,60
18,15.87,30,60
19,16.82,30,60
20,17.77,30,60
21,18.72,30,60
22,19.67,30,60
23,20.62,30,60
24,21.57,30,60
25,22.51,30,60
26,23.45,30,60
27,24.4,30,60
28,25.33,30,60
29,26.28,30,60
30,27.21,30,60
31,28.15,30,60
32,29.08,30,60
33,30.02,30,60
34,30.95,30,60
35,31.88,30,60
36,32.82,30,60
37,33.74,30,60
38,34.68,30,60
39,35.62,30,60
40,36.55,30,60
41,37.5,30,60
42,38.43,30,60
43,39.37,30,60
44,40.31,30,60
45,41.25,30,60
46,42.21,30,60
47,43.16,30,60
48,44.09,30,60
49,45.05,30,60
50,46.0,30,60
51,46.95,30,60
52,47.9,30,60
53,48.85,30,60
54,49.8,30,60
55,50.73,30,60
56,51.69,30,60
57,52.62,30,60
58,53.56,30,60
59,54.5,30,60
60,55.43,30,60
61,56.37,30,60
62,57.3,30,60
63,58.24,30,60
64,59.18,30,60
65,60.12,30,60
66,61.05,30,60
67,61.99,30,60
68,62.93,30,60
69,63.86,30,60
70,64.81,30,60
71,65.76,30,60
72,66.69,30,60
73,67.65,30,60
74,68.6,30,60
75,69.56,30,60
76,70.51,30,60
77,71.46,30,60
78,72.42,30,60
79,73.37,30,60
80,74.33,30,60
81,75.29,30,60
82,76.24,30,60
83,77.19,30,60
84,78.14,30,60
85,79.07,30,60
86,80.02,25,60
87,80.96,25,60
88,81.9,25,60
89,82.84,25,60
90,83.78,25,60
91,84.7,25,60
92,85.64,25,60
93,86.57,25,60
94,87.52,25,60
95,88.46,25,60
96,89.4,25,60
